channel_name,video_title,published_at,view_count,like_count
Tinh tế,"Vlog: ăn cơm sang chảnh, xài đồ công nghệ đụng nóc... tìm khí tươi",2025-07-03 20:01:45,4395,109
Tinh tế,Trên tay Dreame Aqua 10 Pro Track: đủ những công nghệ xịn nhất của robot hút bụi lau nhà,2025-07-01 20:01:14,2513,29
Tinh tế,Trên tay bộ 3 sạc dự phòng Belkin BoostCharge mới: Từ 20W nhỏ gọn đến 65W sạc được laptop,2025-06-30 20:30:10,1996,32
Tinh tế,"Thử tính năng chuyển file PDF trên Dropbox: nhanh, tiện, chuyển được file tối đa 200MB",2025-06-30 20:01:04,712,13
Tinh tế,Trên tay bộ 3 sạc dự phòng Belkin BoostCharge mới: Từ 20W nhỏ gọn đến 65W sạc được laptop,2025-06-30 19:01:30,5537,25
Tinh tế,"Trải nghiệm Liberty Z 2025: Cảm giác lái vững, màn hình lớn, động cơ êm, 1 lít xăng đi được 45km...",2025-06-29 20:01:05,3656,59
Tinh tế,Trên tay trạm sạc di động Anker 288Wh: một người xài cả ngày không hết,2025-06-24 20:00:20,4072,45
Tinh tế,Trải nghiệm Thiết bị chống giật Daikiosan - Makano: tránh được 90% tai nạn về điện cho con người,2025-06-21 20:00:56,7471,94
Tinh tế,"Tham quan showroom Dreame chính hãng tại Hà Nội: Đầy đủ từ robot lau hút, đồ gia dụng",2025-06-20 20:00:27,1404,14
Tinh tế,Trải nghiệm Thiết bị chống giật Daikiosan - Makano: tránh được 90% tai nạn về điện cho con người,2025-06-18 20:00:57,5165,80
Tinh tế,Một ngày với Gemini Live trên Samsung Galaxy A56 5G,2025-06-17 21:04:52,3243,65
Tinh tế,"Trải nghiệm ADO A20 Ultra: 3 số tự động, trợ lực tự động rất mạnh",2025-06-16 20:00:49,6460,60
Tinh tế,WWDC chưa qua thì Android 16 đã tới 🥹 #andorid #android16 #google,2025-06-12 19:00:48,4857,62
Tinh tế,"Tham quan cửa hàng trưng bày Dreame Store: Đa dạng sản phẩm, có không gian trải nghiệm trực tiếp",2025-06-11 20:01:42,1685,23
Tinh tế,Đập hộp iPhone 6 ở năm 2025: Một thời để nhớ,2025-06-11 20:00:31,38579,611
Tinh tế,Tinh tế đang phát trực tiếp!,2025-06-11 14:46:34,688,8
Tinh tế,"Trên tay robot Eufy X10 Pro Omni mà Anker vừa ra mắt: gọn, ""thông minh"", lau sạch!",2025-06-10 20:30:41,1946,27
Tinh tế,"ASUS Gaming V16: Laptop gaming mỏng nhẹ, cấu hình tốt trong tầm giá 24 triệu",2025-06-10 20:00:28,1661,16
Tinh tế,"WWDC25 trong 10 phút: iiOS 26, iPadOS 26, macOS 26, watchOS 26, visionOS 26, and tvOS 26.",2025-06-10 19:01:06,5077,86
Tinh tế,Tổng hợp những tính năng trên iOS26,2025-06-10 16:17:40,3237,21
Tinh tế,Giao diện Liquid Glass iOS 26 nè!!! Làm sao lên? #tinhte #smartphone  #macos  #iphone #ios26,2025-06-10 14:54:40,5456,70
Tinh tế,Những điều bạn cần biết về macOS 26 Tahoe mới,2025-06-10 12:07:28,3345,41
Tinh tế,"Tivi QLED và QD-MiniLED những điều bạn cần biết: khác nhau sao, nên chọn cái nào?",2025-06-09 20:00:38,2027,35
Tinh tế,TOP 5 tính năng Dropbox,2025-06-09 20:00:14,790,18
Tinh tế,"Trên tay lót chuột UNIQ Hagen: da thực vật, 2 mặt, nam châm giữ dây...",2025-06-08 20:01:15,1514,30
Tinh tế,Update Cafe Tinhte 5.0: giới thiệu các giải pháp xây dựng được áp dụng,2025-06-07 20:00:12,1789,40
Tinh tế,Khám phá cafe Đỗ Phủ cùng Samsung Galaxy Tab S10 Ultra #tinhte #shorts #samsung,2025-06-07 19:30:20,3131,20
Tinh tế,Phát thảo hình ảnh AI với Samsung Galaxy Tab S10 Ultra #tinhte #samsung #tabs10ultra,2025-06-07 11:00:31,2260,23
Tinh tế,Khám phá công dụng của nút Galaxy AI trên Samsung Galaxy Tab S10 Ultra,2025-06-07 09:00:51,1615,13
Tinh tế,Trải nghiệm Samsung Galaxy Ring: Người bạn đồng hành sức khỏe thầm lặng và thông minh,2025-06-06 20:01:05,2235,33
Tinh tế,"Ghế trẻ em/carseat TQ Welldon: đẹp, điệu, nhiều tính năng, có cả quạt.. nhưng không xịn",2025-06-06 19:31:08,3044,10
Tinh tế,Mời anh em xem/nghe podcast bàn luận về sự kiện WWDC25,2025-06-06 19:16:15,1252,14
Tinh tế,Trải nghiệm Auto Framing trên Sony Xperia 1 VII:tự quay giờ là chuyện nhỏ #sony #xpreia #autoframing,2025-06-06 10:11:44,4657,86
Tinh tế,"Sony Xperia 1 VII: Thử tính năng Auto Framing, tự quay nội dung đã dễ hơn bao giờ hết",2025-06-06 09:40:49,4780,66
Tinh tế,"Trên tay ghế trẻ em/carseat TQ Welldon: đẹp, điệu, nhiều tính năng, có cả quạt.. nhưng không xịn",2025-06-05 20:01:41,679,17
Tinh tế,"Trên tay máy hút bụi không dây Masuto MSClean: hút siêu mạnh, lọc Hepa kép, hút được cả bụi mịn",2025-06-04 20:00:42,1041,19
